batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average
Aaron Finch (c),10,82.95,45.162749555050794,507,50.7
Adam Zampa,2,16.665,0.0,1,0.5
Adil Rashid,5,76.66600000000001,24.25,45,9.0
Aftab Alam,3,46.666666666666664,85.71428571428571,14,4.666666666666667
Aiden Markram,6,71.12333333333333,53.10389759306168,140,23.333333333333332
Alex Carey †,9,114.80555555555556,43.785348211031845,375,41.666666666666664
Andile Phehlukwayo,7,84.33428571428571,65.3949985791418,133,19.0
Andre Russell,3,89.20333333333333,84.76190476190476,36,12.0
Angelo Mathews,7,58.847142857142856,51.1409227015682,244,34.857142857142854
Asghar Afghan,6,71.89833333333333,37.33766233766234,154,25.666666666666668
Ashley Nurse,2,59.025,42.10526315789473,20,10.0
Asif Ali,2,94.88499999999999,21.428571428571427,19,9.5
Avishka Fernando,4,106.32,63.23914181057039,203,50.75
Babar Azam,8,88.17625,47.06743112199418,474,59.25
Ben Stokes,10,91.28299999999999,35.533130042227384,465,46.5
Bhuvneshwar Kumar,2,33.33,0.0,2,1.0
Carlos Brathwaite,6,117.37333333333333,53.4506129184347,154,25.666666666666668
Chris Gayle,8,75.6625,68.58534678239111,242,30.25
Chris Morris,4,117.3075,51.81547619047619,74,18.5
Chris Woakes,10,99.475,27.296703296703292,134,13.4
Colin Munro,6,89.37,71.00139324277255,125,20.833333333333332
Colin de Grandhomme,8,105.005,38.00595238095239,190,23.75
Darren Bravo,2,63.33,63.1578947368421,19,9.5
David Miller,4,86.735,27.88860592341068,136,34.0
David Warner,10,78.822,46.91630747410076,647,64.7
Dawlat Zadran,5,29.998,55.55555555555555,11,2.2
Dhananjaya de Silva,7,69.26714285714286,46.26436781609195,108,15.428571428571429
Dimuth Karunaratne (c),7,50.90714285714286,39.64710547184774,222,31.714285714285715
Dinesh Karthik,2,56.44,58.33333333333333,14,7.0
Dwaine Pretorius,2,70.0,0.0,3,1.5
Eoin Morgan (c),10,84.904,48.636297952087425,371,37.1
Evin Lewis,5,44.763999999999996,28.374384236453203,131,26.2
Fabian Allen,3,53.123333333333335,66.66666666666666,51,17.0
Faf du Plessis (c),8,75.475,50.466951833266464,387,48.375
Fakhar Zaman,8,66.26125,62.16361297006458,186,23.25
Glenn Maxwell,10,162.965,62.16703787355962,177,17.7
Gulbadin Naib (c),9,86.51777777777778,53.37459495709358,194,21.555555555555557
Hamid Hassan,5,53.39200000000001,39.285714285714285,15,3.0
Hardik Pandya,9,121.18666666666667,45.732020093433135,226,25.11111111111111
Haris Sohail,5,92.078,50.805855425815764,198,39.6
Hasan Ali,3,146.11,51.25,43,14.333333333333334
Hashim Amla,7,66.77,36.74540906248223,203,29.0
Hashmatullah Shahidi,8,41.31875,36.84058815319169,197,24.625
Hazratullah Zazai,5,75.74600000000001,57.75401069518716,96,19.2
Henry Nicholls,4,41.58,52.55411255411256,91,22.75
Ikram Alikhil †,7,50.978571428571435,12.891372193697777,142,20.285714285714285
Imad Wasim,5,112.144,42.98631889560677,162,32.4
Imam-ul-Haq,8,64.44125,42.6287413072418,305,38.125
Imran Tahir,4,33.332499999999996,0.0,11,2.75
Ish Sodhi,1,125.0,80.0,5,5.0
Isuru Udana,7,71.53285714285714,33.36601307189542,45,6.428571428571429
James Neesham,8,75.70625,37.57591451735569,232,29.0
James Vince,3,53.879999999999995,51.64835164835165,40,13.333333333333334
Jason Behrendorff,3,69.44333333333334,0.0,12,4.0
Jason Holder (c),7,96.85285714285715,56.990416990416996,170,24.285714285714285
Jason Roy,7,110.35714285714286,68.23472823472824,443,63.285714285714285
Jasprit Bumrah,3,33.333333333333336,0.0,1,0.3333333333333333
Jean-Paul Duminy,4,82.325,28.53174603174603,70,17.5
Jeevan Mendis,3,21.376666666666665,27.77777777777778,19,6.333333333333333
Joe Root,11,85.06090909090909,36.00060481360025,556,50.54545454545455
Jofra Archer,7,62.228571428571435,11.428571428571427,13,1.8571428571428572
Jonny Bairstow,11,74.23454545454545,63.88828910918565,532,48.36363636363637
Jos Buttler †,9,126.35111111111112,36.18261602365601,312,34.666666666666664
KL Rahul,9,91.69555555555556,40.557041938620884,361,40.111111111111114
Kagiso Rabada,4,83.4375,36.17189262350553,58,14.5
Kane Richardson,1,100.0,0.0,1,1.0
Kane Williamson (c),9,71.19111111111111,35.337838947988,578,64.22222222222223
Kedar Jadhav,5,70.25399999999999,42.38400488400488,80,16.0
Kemar Roach,2,55.91,64.28571428571428,28,14.0
Kuldeep Yadav,2,50.0,0.0,1,0.5
Kusal Mendis,7,58.857142857142854,22.199925678186545,143,20.428571428571427
Kusal Perera †,7,105.31142857142858,45.17115068839207,273,39.0
Lahiru Thirimanne,5,109.87,41.34884696016771,143,28.6
Lasith Malinga,5,63.714,40.0,11,2.2
Liam Plunkett,5,140.0,38.51851851851852,62,12.4
Litton Das,5,103.928,46.86943907156673,184,36.8
Lockie Ferguson,2,66.665,100.0,4,2.0
Lungi Ngidi,2,68.33,50.0,7,3.5
MS Dhoni †,8,96.6725,36.75070028011204,273,34.125
Mahmudullah,6,89.37333333333333,33.4876873732446,219,36.5
Marcus Stoinis,7,62.27571428571429,62.22789594306622,87,12.428571428571429
Mark Wood,4,54.165,40.0,11,2.75
Martin Guptill,10,71.522,54.13763003398908,186,18.6
Mashrafe Mortaza (c),5,96.316,44.33333333333333,34,6.8
Matt Henry,5,75.768,41.666666666666664,18,3.6
Mehidy Hasan Miraz,5,119.35999999999999,40.76190476190476,37,7.4
Milinda Siriwardana,1,75.0,0.0,3,3.0
Mitchell Santner,8,99.405,29.354575163398692,72,9.0
Mitchell Starc,8,82.0675,20.997536945812808,68,8.5
Moeen Ali,5,123.886,43.108375778155064,75,15.0
Mohammad Amir,3,61.11000000000001,25.0,11,3.6666666666666665
Mohammad Hafeez,8,88.9325,45.77189123170244,253,31.625
Mohammad Mithun,3,59.593333333333334,56.41025641025641,47,15.666666666666666
Mohammad Nabi,9,54.775555555555556,18.167249417249415,107,11.88888888888889
Mohammad Saifuddin,5,84.558,33.164300202839755,87,17.4
Mohammad Shahzad †,2,29.165,57.14285714285714,7,3.5
Mohammed Shami,3,33.333333333333336,0.0,2,0.6666666666666666
Mosaddek Hossain,6,101.22833333333334,32.298534798534796,117,19.5
Mujeeb Ur Rahman,6,77.035,47.8021978021978,28,4.666666666666667
Mushfiqur Rahim †,8,81.11,33.624402131246846,367,45.875
Mustafizur Rahman,4,8.3325,0.0,1,0.25
Najibullah Zadran,8,97.52625,54.56551181090852,230,28.75
Nathan Coulter-Nile,3,88.14333333333333,20.28985507246377,98,32.666666666666664
Nathan Lyon,3,61.10999999999999,0.0,8,2.6666666666666665
Nicholas Pooran,8,96.7325,46.23088186180375,367,45.875
Noor Ali Zadran,3,45.580000000000005,57.25806451612903,63,21.0
Nuwan Pradeep,3,33.333333333333336,0.0,1,0.3333333333333333
Oshane Thomas,6,20.956666666666667,22.222222222222218,13,2.1666666666666665
Pat Cummins,8,55.87375,15.976535541752932,51,6.375
Peter Handscomb,1,33.33,0.0,4,4.0
Quinton de Kock †,9,81.61222222222221,55.33384586548868,305,33.888888888888886
Rahmat Shah,9,51.76111111111111,45.825421805762,254,28.22222222222222
Rashid Khan,9,86.00555555555555,45.01322751322751,105,11.666666666666666
Rassie van der Dussen,6,88.08333333333333,34.169528455026516,311,51.833333333333336
Ravindra Jadeja,1,130.5,51.94805194805194,77,77.0
Rishabh Pant,4,96.1375,65.625,116,29.0
Rohit Sharma,9,79.94111111111111,41.451426647920634,648,72.0
Ross Taylor,9,66.14888888888888,25.171618747970815,350,38.888888888888886
Rubel Hossain,1,81.81,44.44444444444444,9,9.0
Sabbir Rahman,2,50.0,55.55555555555556,36,18.0
Samiullah Shinwari,3,74.03333333333333,19.262441818832798,74,24.666666666666668
Sarfaraz Ahmed (c)†,8,95.4325,24.823232323232325,143,17.875
Sayed Shirzad,1,147.05,80.0,25,25.0
Shadab Khan,6,101.25833333333333,27.272727272727273,43,7.166666666666667
Shaheen Shah Afridi,2,8.33,0.0,1,0.5
Shai Hope †,8,57.24,42.94670709192768,274,34.25
Shakib Al Hasan,8,94.565,38.92360411605845,606,75.75
Shannon Gabriel,2,21.425,0.0,3,1.5
Shaun Marsh,2,60.894999999999996,17.391304347826086,26,13.0
Sheldon Cottrell,5,60.538,38.333333333333336,33,6.6
Shikhar Dhawan,2,86.995,52.35042735042735,125,62.5
Shimron Hetmyer,8,102.5275,43.485719899513,257,32.125
Shoaib Malik,3,33.333333333333336,0.0,8,2.6666666666666665
Soumya Sarkar,8,91.615,50.48649052097328,166,20.75
Steven Smith,10,84.908,32.284461869969974,379,37.9
Sunil Ambris,2,80.41499999999999,52.903225806451616,36,18.0
Suranga Lakmal,3,80.21333333333332,36.82539682539683,27,9.0
Tamim Iqbal,8,66.8925,38.59402599852515,235,29.375
Thisara Perera,6,97.45166666666667,21.693121693121693,61,10.166666666666666
Tim Southee,1,43.75,0.0,7,7.0
Tom Latham †,9,54.65222222222222,11.955523013753696,155,17.22222222222222
Trent Boult,4,58.9275,25.0,10,2.5
Usman Khawaja,9,90.36777777777777,44.331312357692426,316,35.111111111111114
Vijay Shankar,3,81.47000000000001,46.65571975916803,58,19.333333333333332
Virat Kohli (c),9,83.86,32.322177443057974,443,49.22222222222222
Wahab Riaz,6,132.61166666666665,52.22222222222222,88,14.666666666666666
Yuzvendra Chahal,1,100.0,80.0,5,5.0
