Full Name,Born,Age,Batting Style,Bowling Style,Role,Country
Wellington Pedzisai Masakadza,"October 04, 1993, Harare",31y 6d,Left hand Bat,Slow Left arm Orthodox,Bowler,Zimbabwe
Glenn James Maxwell,"October 14, 1988, Kew, Melbourne, Victoria",35y 362d,Right hand Bat,Right arm Offbreak,Batting Allrounder,Australia
Kyle Rico Mayers,"September 08, 1992, Barbados",32y 32d,Left hand Bat,Right arm Medium,Batting Allrounder,West Indies
Barry John McCarthy,"September 13, 1992",32y 27d,Right hand Bat,Right arm Fast medium,Bowler,Ireland
Mehidy Hasan Miraz,"October 25, 1997, Khulna",26y 351d,Right hand Bat,Right arm Offbreak,Allrounder,Bangladesh
Karthik Palaniapan Meiyappan,"October 08, 2000, Chennai, India",24y 2d,Right hand Bat,Legbreak,Bowler,United Arab Emirates
Balapuwaduge Kusal Gimhan Mendis,"February 02, 1995, Moratuwa",29y 251d,Right hand Bat,Legbreak,Wicketkeeper Batter,Sri Lanka
David Andrew Miller,"June 10, 1989, Pietermaritzburg, Natal",35y 122d,Left hand Bat,Right arm Offbreak,Middle order Batter,South Africa
Daryl Joseph Mitchell,"May 20, 1991, Hamilton",33y 143d,Right hand Bat,Right arm Medium,Batting Allrounder,New Zealand
Mohammad Haris,"March 30, 2001, Peshawar",23y 194d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Pakistan
Mohammad Nabi,"January 01, 1985, Loger, Afghanistan",39y 283d,Right hand Bat,Right arm Offbreak,Allrounder,Afghanistan
Mohammad Nawaz,"March 21, 1994, Rawalpindi, Punjab",30y 203d,Left hand Bat,Slow Left arm Orthodox,Allrounder,Pakistan
Mohammad Rizwan,"June 01, 1992, Peshawar, Khyber Pakhtunkhwa",32y 131d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Pakistan
Mohammad Wasim,"August 25, 2001, North Wazirastan",23y 46d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Pakistan
Mohammed Shami Ahmed,"September 03, 1990, Amroha, Uttar Pradesh",34y 37d,Right hand Bat,Right arm Fast,Bowler,India
Mosaddek Hossain Saikat,"December 10, 1995, Mymensingh",28y 305d,Right hand Bat,Right arm Offbreak,Middle order Batter,Bangladesh
Muhammad Waseem,"February 12, 1994",30y 241d,Right hand Bat,Right arm Medium,Opening Batter,United Arab Emirates
Mujeeb Ur Rahman,"March 28, 2001, Khost",23y 196d,Right hand Bat,Right arm Offbreak,Bowler,Afghanistan
Henry George Munsey,"February 21, 1993, Oxford",31y 232d,Left hand Bat,Right arm Medium fast,Opening Batter,Scotland
Tony Tanaka Munyonga,"January 31, 1999, Chitungwiza",25y 253d,Right hand Bat,Right arm Offbreak,Allrounder,Zimbabwe
Mustafizur Rahman,"September 06, 1995, Satkhira",29y 34d,Left hand Bat,Left arm Fast medium,Bowler,Bangladesh
Blessing Muzarabani,"October 02, 1996, Harare",28y 8d,Right hand Bat,Right arm Fast medium,Bowler,Zimbabwe
Stephanus Johannes Myburgh,"February 28, 1984, Pretoria, Transvaal",40y 225d,Left hand Bat,Right arm Offbreak,Opening Batter,Netherlands
Najibullah Zadran,"February 18, 1993, Logar",31y 235d,Left hand Bat,Right arm Offbreak,Middle order Batter,Afghanistan
Naseem Shah,"February 15, 2003",21y 238d,Right hand Bat,Right arm Fast,Bowler,Pakistan
Nasum Ahmed,"December 05, 1994",29y 310d,Left hand Bat,Slow Left arm Orthodox,Bowler,Bangladesh
Naveen-ul-Haq Murid,"September 23, 1999, Kabul",25y 17d,Right hand Bat,Right arm Medium fast,Bowler,Afghanistan
Najmul Hossain Shanto,"August 25, 1998, Rajshahi",26y 46d,Left hand Bat,Right arm Offbreak,Top order Batter,Bangladesh
James Douglas Sheahan Neesham,"September 17, 1990, Auckland",34y 23d,Left hand Bat,Right arm Medium fast,Batting Allrounder,New Zealand
Richard Ngarava,"December 29, 1997, Harare",26y 286d,Left hand Bat,Left arm Fast medium,Bowler,Zimbabwe
Lungisani True-man Ngidi,"March 29, 1996, Durban, Natal",28y 195d,Right hand Bat,Right arm Fast medium,Bowler,South Africa
Pathum Nissanka Silva,"May 18, 1998, Galle",26y 145d,Right hand Bat,,Top order Batter,Sri Lanka
Anrich Arno Nortje,"November 16, 1993",30y 329d,Right hand Bat,Right arm Fast,Bowler,South Africa
Quazi Nurul Hasan,"November 21, 1993, Khulna",30y 324d,Right hand Bat,,Wicketkeeper Batter,Bangladesh
Maxwell Patrick O'Dowd,"March 04, 1994, Auckland",30y 220d,Right hand Bat,Right arm Offbreak,Opening Batter,Netherlands
Hardik Himanshu Pandya,"October 11, 1993, Choryasi, Gujarat",30y 365d,Right hand Bat,Right arm Medium fast,Allrounder,India
Rishabh Rajendra Pant,"October 04, 1997, Haridwar, Uttarakhand",27y 6d,Left hand Bat,,Wicketkeeper Batter,India
Wayne Dillon Parnell,"July 30, 1989, Port Elizabeth, Cape Province",35y 72d,Left hand Bat,Left arm Medium fast,Bowler,South Africa
Axar Rajeshbhai Patel,"January 20, 1994, Anand, Gujarat",30y 264d,Left hand Bat,Slow Left arm Orthodox,Allrounder,India
Glenn Phillips,"December 06, 1996, East London, Eastern Cape, South Africa",27y 309d,Right hand Bat,Right arm Offbreak,Allrounder,New Zealand
Nicholas Pooran,"October 02, 1995, Trinidad",29y 8d,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,West Indies
Rovman Powell,"July 23, 1993, Jamaica",31y 79d,Right hand Bat,Right arm Medium fast,Middle order Batter,West Indies
Pramod Madushan Liyanagamage,"December 14, 1993, Hambantota",30y 301d,Right hand Bat,Right arm Medium fast,Bowler,Sri Lanka
Timothy James Gerard Pringle,"August 29, 2002, The Hague",22y 42d,Right hand Bat,Slow Left arm Orthodox,Allrounder,Netherlands
Kagiso Rabada,"May 25, 1995, Johannesburg",29y 138d,Left hand Bat,Right arm Fast,Bowler,South Africa
Rahmanullah Gurbaz,"November 28, 2001",22y 317d,Right hand Bat,Right arm Medium,Wicketkeeper Batter,Afghanistan
Kannaur Lokesh Rahul,"April 18, 1992, Bangalore, Karnataka",32y 175d,Right hand Bat,,Wicketkeeper Batter,India
Pramod Bhanuka Bandara Rajapaksa,"October 24, 1991, Colombo",32y 352d,Left hand Bat,Right arm Medium,Top order Batter,Sri Lanka
Chandrasekara Arachchilage Kasun Rajitha,"June 01, 1993, Matara",31y 131d,Right hand Bat,Right arm Medium fast,Bowler,Sri Lanka
Adil Usman Rashid,"February 17, 1988, Bradford, Yorkshire",36y 236d,Right hand Bat,Legbreak,Bowler,England
Rashid Khan Arman,"September 20, 1998, Nangarhar",26y 20d,Right hand Bat,Legbreak Googly,Bowling Allrounder,Afghanistan
Kane William Richardson,"February 12, 1991, Eudunda, South Australia",33y 241d,Right hand Bat,Right arm Fast medium,Bowler,Australia
Chundangapoyil Puthiyapurayil Rizwan,"April 19, 1988, Tellicherry, Kerala",36y 174d,Right hand Bat,Legbreak Googly,Middle order Batter,United Arab Emirates
Rilee Roscoe Rossouw,"October 09, 1989, Bloemfontein, Orange Free State",35y 1d,Left hand Bat,Right arm Offbreak,Top order Batter,South Africa
Philip Dean Salt,"August 28, 1996, Bodelwyddan, North Wales",28y 43d,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,England
Mitchell Josef Santner,"February 05, 1992, Hamilton",32y 248d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,New Zealand
Bernard Martinus Scholtz,"October 03, 1990, Keetmanshoop, Namibia",34y 7d,Right hand Bat,Slow Left arm Orthodox,Bowler,Namibia
Shadab Khan,"October 04, 1998, Mianwali",26y 6d,Right hand Bat,Legbreak,Allrounder,Pakistan
Shaheen Shah Afridi,"April 06, 2000, Khyber Agency",24y 187d,Left hand Bat,Left arm Fast,Bowler,Pakistan
Tabraiz Shamsi,"February 18, 1990, Johannesburg, Gauteng",34y 235d,Right hand Bat,Left arm Wrist spin,Bowler,South Africa
Shan Masood Khan,"October 14, 1989, Kuwait",34y 362d,Left hand Bat,Right arm Medium fast,Opening Batter,Pakistan
Shakib Al Hasan,"March 24, 1987, Magura, Jessore",37y 200d,Left hand Bat,Slow Left arm Orthodox,Allrounder,Bangladesh
Alishan Sharafu,"January 10, 2003, Kerala, India",21y 274d,Right hand Bat,Right arm Medium,Opening Batter,United Arab Emirates
Safyaan Mohammed Sharif,"May 24, 1991, Huddersfield, Yorkshire",33y 139d,Right hand Bat,Right arm Medium fast,Bowler,Scotland
Shariz Ahmad,"April 21, 2003",21y 172d,Left hand Bat,Legbreak Googly,Bowler,Netherlands
Rohit Gurunath Sharma,"April 30, 1987, Bansod, Nagpur, Maharashtra",37y 163d,Right hand Bat,Right arm Offbreak,Top order Batter,India
Ben Shikongo,"May 08, 2000",24y 155d,Right hand Bat,Right arm Medium fast,Bowler,Namibia
Mohammad Shoriful Islam,"June 03, 2001, Panchagor",23y 129d,Left hand Bat,Left arm Fast medium,Bowler,Bangladesh
Milton Shumba,"October 19, 2000, Chitungwiza",23y 357d,Left hand Bat,Slow Left arm Orthodox,Top order Batter,Zimbabwe
Sikandar Raza Butt,"April 24, 1986, Sialkot, Punjab, Pakistan",38y 169d,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,Zimbabwe
Simi Singh,"February 04, 1987, Bathlana, Punjab, India",37y 249d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder,Ireland
Johannes Jonathan Smit,"November 10, 1995, keetmanshoop",28y 335d,Right hand Bat,Left arm Medium fast,Bowling Allrounder,Namibia
Odean Fabian Smith,"November 01, 1996, St. Elizabeth, Jamaica",27y 344d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,West Indies
Steven Peter Devereux Smith,"June 02, 1989, Sydney, New South Wales",35y 130d,Right hand Bat,Legbreak Googly,Top order Batter,Australia
Inderbir Singh Sodhi,"October 31, 1992, Ludhiana, India",31y 345d,Right hand Bat,Legbreak,Bowler,New Zealand
Soumya Sarkar,"February 25, 1993, Satkhira",31y 228d,Left hand Bat,Right arm Medium fast,Batting Allrounder,Bangladesh
Timothy Grant Southee,"December 11, 1988, Whangarei, Northland",35y 304d,Right hand Bat,Right arm Medium fast,Bowler,New Zealand
Mitchell Aaron Starc,"January 30, 1990, Baulkham Hills, Sydney, New South Wales",34y 254d,Left hand Bat,Left arm Fast,Bowler,Australia
Paul Robert Stirling,"September 03, 1990, Belfast",34y 37d,Right hand Bat,Right arm Offbreak,Batting Allrounder,Ireland
Marcus Stoinis,"August 16, 1989, Perth",35y 55d,Right hand Bat,Right arm Medium,Batting Allrounder,Australia
Benjamin Andrew Stokes,"June 04, 1991, Christchurch, Canterbury, New Zealand",33y 128d,Left hand Bat,Right arm Fast medium,Allrounder,England
Tristan Stubbs,"August 14, 2000",24y 57d,Right hand Bat,Right arm Offbreak,Batter,South Africa
Taskin Ahmed,"April 03, 1995, Dhaka",29y 190d,Left hand Bat,Right arm Fast,Bowler,Bangladesh
Harry Tom Tector,"December 06, 1999, Dublin",24y 309d,Right hand Bat,Right arm Offbreak,Middle order Batter,Ireland
Morawakage Maheesh Theekshana,"August 01, 2000, Colombo",24y 70d,Right hand Bat,Right arm Offbreak,Bowler,Sri Lanka
Ruben Trumpelmann,"February 01, 1998, Durban",26y 252d,Right hand Bat,Left arm Fast,Bowler,Namibia
Lorcan John Tucker,"September 10, 1996, Dublin",28y 30d,Right hand Bat,,Wicketkeeper Batter,Ireland
Usman Ghani,"November 20, 1996",27y 325d,Right hand Bat,,Opening Batter,Afghanistan
Logan Verjus van Beek,"September 07, 1990, Christchurch, Canterbury",34y 33d,Right hand Bat,Right arm Medium fast,Bowler,Netherlands
Timm van der Gugten,"February 25, 1991, Hornsby, Upper North Shore, Sydney",33y 228d,Right hand Bat,Right arm Fast medium,Bowler,Netherlands
Roelof Erasmus van der Merwe,"December 31, 1984, Johannesburg, Transvaal (now Gauteng)",39y 284d,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,Netherlands
Michael van Lingen,"October 24, 1997",26y 352d,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder,Namibia
Paul Adriaan van Meekeren,"January 15, 1993, Amsterdam, Netherlands",31y 269d,Right hand Bat,Right arm Fast medium,Bowler,Netherlands
Vikramjit Singh,"January 09, 2003, Cheema Khurd, Punjab",21y 275d,Left hand Bat,Right arm Medium,Opening Batter,Netherlands
Matthew Scott Wade,"December 26, 1987, Hobart, Tasmania",36y 289d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,Australia
David Andrew Warner,"October 27, 1986, Paddington, New South Wales",37y 349d,Left hand Bat,Legbreak,Opening Batter,Australia
Mark Robert James Watt,"July 29, 1996, Eastern General Hospital, Edinburgh",28y 73d,Left hand Bat,Slow Left arm Orthodox,Bowler,Scotland
Bradley Thomas James Wheal,"August 28, 1996, Durban, KwaZulu-Natal",28y 43d,Right hand Bat,Right arm Fast medium,Bowler,Scotland
David Wiese,"May 18, 1985, Roodepoort",39y 145d,Right hand Bat,Right arm Medium fast,Allrounder,Namibia
Sean Colin Williams,"September 26, 1986, Bulawayo",38y 14d,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,Zimbabwe
Kane Stuart Williamson,"August 08, 1990, Tauranga",34y 63d,Right hand Bat,Right arm Offbreak,Top order Batter,New Zealand
Christopher Roger Woakes,"March 02, 1989, Birmingham, Warwickshire",35y 222d,Right hand Bat,Right arm Fast medium,Allrounder,England
Mark Andrew Wood,"January 11, 1990, Ashington, Northumberland",34y 273d,Right hand Bat,Right arm Fast,Bowler,England
Suryakumar Yadav,"September 14, 1990, Mumbai, Maharashtra",34y 26d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,India
Yasir Ali Chowdhury,"June 03, 1996, Chittagong",28y 129d,Right hand Bat,Right arm Offbreak,Middle order Batter,Bangladesh
Zahoor Khan,"May 25, 1989, Faisalabad, Punjab",35y 138d,Right hand Bat,Right arm Medium fast,Bowler,United Arab Emirates
Adam Zampa,"March 31, 1992, Shellharbour, New South Wales",32y 193d,Right hand Bat,Legbreak Googly,Bowler,Australia
Zawar Farid,"July 25, 1992, Sahiwal",32y 77d,Right hand Bat,Right arm Medium,Bowler,United Arab Emirates
