batsmanName,runs,balls,minutes,4s,6s,SR,match_id
Rohit Sharma (c),9,5,7,2,0,180.00,scorecard
Virat Kohli,76,59,87,6,2,128.81,scorecard
Rishabh Pant †,0,2,2,0,0,0.00,scorecard
Suryakumar Yadav,3,4,9,0,0,75.00,scorecard
Axar Patel,47,31,38,1,4,151.61,scorecard
Shivam Dube,27,16,32,3,1,168.75,scorecard
Hardik Pandya,5,2,7,1,0,250.00,scorecard
Ravindra Jadeja,2,2,1,0,0,100.00,scorecard
Reeza Hendricks,4,5,6,1,0,80.00,scorecard
Quinton de Kock †,39,31,54,4,1,125.80,scorecard
Aiden Markram (c),4,5,4,1,0,80.00,scorecard
Tristan Stubbs,31,21,24,3,1,147.61,scorecard
Heinrich Klaasen,52,27,33,2,5,192.59,scorecard
David Miller,21,17,37,1,1,123.52,scorecard
Marco Jansen,2,4,7,0,0,50.00,scorecard
Keshav Maharaj,2,7,18,0,0,28.57,scorecard
Kagiso Rabada,4,3,5,1,0,133.33,scorecard
Anrich Nortje,1,1,1,0,0,100.00,scorecard
Rohit Sharma (c),57,39,57,6,2,146.15,scorecard
Virat Kohli,9,9,10,0,1,100.00,scorecard
Rishabh Pant †,4,6,12,0,0,66.66,scorecard
Suryakumar Yadav,47,36,40,4,2,130.55,scorecard
Hardik Pandya,23,13,17,1,2,176.92,scorecard
Ravindra Jadeja,17,9,24,2,0,188.88,scorecard
Shivam Dube,0,1,1,0,0,0.00,scorecard
Axar Patel,10,6,10,0,1,166.66,scorecard
Arshdeep Singh,1,1,1,0,0,100.00,scorecard
Phil Salt,5,8,20,0,0,62.50,scorecard
Jos Buttler (c)†,23,15,13,4,0,153.33,scorecard
Moeen Ali,8,10,18,0,0,80.00,scorecard
Jonny Bairstow,0,3,2,0,0,0.00,scorecard
Harry Brook,25,19,21,3,0,131.57,scorecard
Sam Curran,2,4,4,0,0,50.00,scorecard
Liam Livingstone,11,16,24,0,0,68.75,scorecard
Chris Jordan,1,5,6,0,0,20.00,scorecard
Jofra Archer,21,15,17,1,2,140.00,scorecard
Adil Rashid,2,2,2,0,0,100.00,scorecard
Reece Topley,3,3,6,0,0,100.00,scorecard
Rahmanullah Gurbaz †,0,3,5,0,0,0.00,scorecard
Ibrahim Zadran,2,5,15,0,0,40.00,scorecard
Gulbadin Naib,9,8,6,2,0,112.50,scorecard
Azmatullah Omarzai,10,12,18,2,0,83.33,scorecard
Mohammad Nabi,0,3,1,0,0,0.00,scorecard
Nangeyalia Kharote,2,7,5,0,0,28.57,scorecard
Karim Janat,8,13,22,1,0,61.53,scorecard
Rashid Khan (c),8,8,20,2,0,100.00,scorecard
Noor Ahmad,0,2,2,0,0,0.00,scorecard
Naveen-ul-Haq,2,8,9,0,0,25.00,scorecard
Fazalhaq Farooqi,2,2,6,0,0,100.00,scorecard
Quinton de Kock †,5,8,7,1,0,62.50,scorecard
Reeza Hendricks,29,25,44,3,1,116.00,scorecard
Aiden Markram (c),23,21,35,4,0,109.52,scorecard
Rahmanullah Gurbaz †,43,55,69,3,1,78.18,scorecard
Ibrahim Zadran,18,29,46,1,0,62.06,scorecard
Azmatullah Omarzai,10,12,20,0,0,83.33,scorecard
Gulbadin Naib,4,3,4,1,0,133.33,scorecard
Mohammad Nabi,1,5,6,0,0,20.00,scorecard
Karim Janat,7,6,15,1,0,116.66,scorecard
Rashid Khan (c),19,10,10,0,3,190.00,scorecard
Litton Das †,54,49,95,5,1,110.20,scorecard
Tanzid Hasan,0,3,12,0,0,0.00,scorecard
Najmul Hossain Shanto (c),5,5,7,1,0,100.00,scorecard
Shakib Al Hasan,0,1,1,0,0,0.00,scorecard
Soumya Sarkar,10,10,18,1,0,100.00,scorecard
Towhid Hridoy,14,9,7,2,0,155.55,scorecard
Mahmudullah,6,9,8,1,0,66.66,scorecard
Rishad Hossain,0,1,1,0,0,0.00,scorecard
Tanzim Hasan Sakib,3,10,13,0,0,30.00,scorecard
Taskin Ahmed,2,9,31,0,0,22.22,scorecard
Mustafizur Rahman,0,1,1,0,0,0.00,scorecard
Rohit Sharma (c),92,41,59,7,8,224.39,scorecard
Virat Kohli,0,5,8,0,0,0.00,scorecard
Rishabh Pant †,15,14,33,1,1,107.14,scorecard
Suryakumar Yadav,31,16,29,3,2,193.75,scorecard
Shivam Dube,28,22,33,2,1,127.27,scorecard
Hardik Pandya,27,17,24,1,2,158.82,scorecard
Ravindra Jadeja,9,5,4,0,1,180.00,scorecard
David Warner,6,6,5,1,0,100.00,scorecard
Travis Head,76,43,76,9,4,176.74,scorecard
Mitchell Marsh (c),37,28,38,3,2,132.14,scorecard
Glenn Maxwell,20,12,15,2,1,166.66,scorecard
Marcus Stoinis,2,4,4,0,0,50.00,scorecard
Tim David,15,11,22,1,1,136.36,scorecard
Matthew Wade †,1,2,5,0,0,50.00,scorecard
Pat Cummins,11,7,15,0,1,157.14,scorecard
Mitchell Starc,4,7,9,0,0,57.14,scorecard
Kyle Mayers,35,34,53,3,2,102.94,scorecard
Shai Hope,0,1,3,0,0,0.00,scorecard
Nicholas Pooran †,1,3,4,0,0,33.33,scorecard
Roston Chase,52,42,59,3,2,123.80,scorecard
Rovman Powell (c),1,2,2,0,0,50.00,scorecard
Sherfane Rutherford,0,4,5,0,0,0.00,scorecard
Andre Russell,15,9,15,0,2,166.66,scorecard
Akeal Hosein,6,11,12,1,0,54.54,scorecard
Alzarri Joseph,11,7,14,0,1,157.14,scorecard
Gudakesh Motie,4,7,10,1,0,57.14,scorecard
Quinton de Kock †,12,7,10,3,0,171.42,scorecard
Reeza Hendricks,0,1,5,0,0,0.00,scorecard
Aiden Markram (c),18,15,20,2,0,120.00,scorecard
Tristan Stubbs,29,27,55,4,0,107.40,scorecard
Heinrich Klaasen,22,10,13,3,1,220.00,scorecard
David Miller,4,14,18,0,0,28.57,scorecard
Marco Jansen,21,14,22,1,1,150.00,scorecard
Keshav Maharaj,2,6,9,0,0,33.33,scorecard
Kagiso Rabada,5,3,5,1,0,166.66,scorecard
Steven Taylor,12,13,25,2,0,92.30,scorecard
Andries Gous †,8,5,4,0,1,160.00,scorecard
Nitish Kumar,30,24,38,1,2,125.00,scorecard
Aaron Jones (c),10,16,10,2,0,62.50,scorecard
Corey Anderson,29,28,43,0,1,103.57,scorecard
Milind Kumar,4,6,13,0,0,66.66,scorecard
Harmeet Singh,21,17,19,2,1,123.52,scorecard
Shadley van Schalkwyk,0,0,7,0,0,-,scorecard
Ali Khan,0,2,1,0,0,0.00,scorecard
Nosthush Kenjige,0,1,1,0,0,0.00,scorecard
Saurabh Netravalkar,0,1,1,0,0,0.00,scorecard
Phil Salt,25,21,44,2,0,119.04,scorecard
Jos Buttler (c)†,83,38,44,6,7,218.42,scorecard
Rahmanullah Gurbaz †,60,49,66,4,4,122.44,scorecard
Ibrahim Zadran,51,48,73,6,0,106.25,scorecard
Azmatullah Omarzai,2,3,2,0,0,66.66,scorecard
Karim Janat,13,9,13,0,1,144.44,scorecard
Rashid Khan (c),2,5,4,0,0,40.00,scorecard
Mohammad Nabi,10,4,10,2,0,250.00,scorecard
Gulbadin Naib,0,1,12,0,0,0.00,scorecard
Nangeyalia Kharote,1,1,2,0,0,100.00,scorecard
Travis Head,0,3,2,0,0,0.00,scorecard
David Warner,3,8,27,0,0,37.50,scorecard
Mitchell Marsh (c),12,9,9,2,0,133.33,scorecard
Glenn Maxwell,59,41,58,6,3,143.90,scorecard
Marcus Stoinis,11,17,20,1,0,64.70,scorecard
Tim David,2,4,9,0,0,50.00,scorecard
Matthew Wade †,5,7,16,0,0,71.42,scorecard
Pat Cummins,3,9,9,0,0,33.33,scorecard
Ashton Agar,2,5,10,0,0,40.00,scorecard
Adam Zampa,9,7,15,1,0,128.57,scorecard
Josh Hazlewood,5,7,10,0,0,71.42,scorecard
Rohit Sharma (c),23,11,14,3,1,209.09,scorecard
Virat Kohli,37,28,34,1,3,132.14,scorecard
Rishabh Pant †,36,24,36,4,2,150.00,scorecard
Suryakumar Yadav,6,2,2,0,1,300.00,scorecard
Shivam Dube,34,24,38,0,3,141.66,scorecard
Hardik Pandya,50,27,38,4,3,185.18,scorecard
Axar Patel,3,5,13,0,0,60.00,scorecard
Litton Das †,13,10,20,1,1,130.00,scorecard
Tanzid Hasan,29,31,41,4,0,93.54,scorecard
Najmul Hossain Shanto (c),40,32,46,1,3,125.00,scorecard
Towhid Hridoy,4,6,6,0,0,66.66,scorecard
Shakib Al Hasan,11,7,7,1,1,157.14,scorecard
Mahmudullah,13,15,30,1,0,86.66,scorecard
Jaker Ali,1,4,3,0,0,25.00,scorecard
Rishad Hossain,24,10,9,1,3,240.00,scorecard
Mahedi Hasan,5,4,7,1,0,125.00,scorecard
Tanzim Hasan Sakib,1,1,1,0,0,100.00,scorecard
Steven Taylor,2,7,5,0,0,28.57,scorecard
Andries Gous †,29,16,37,3,1,181.25,scorecard
Nitish Kumar,20,19,23,2,0,105.26,scorecard
Aaron Jones (c),11,11,12,0,1,100.00,scorecard
Corey Anderson,7,15,23,0,0,46.66,scorecard
Milind Kumar,19,21,35,1,0,90.47,scorecard
Harmeet Singh,0,1,1,0,0,0.00,scorecard
Shadley van Schalkwyk,18,17,17,3,0,105.88,scorecard
Nosthush Kenjige,1,3,8,0,0,33.33,scorecard
Ali Khan,14,6,11,1,1,233.33,scorecard
Saurabh Netravalkar,0,4,4,0,0,0.00,scorecard
Shai Hope,82,39,-,4,8,210.25,scorecard
Johnson Charles,15,14,-,2,0,107.14,scorecard
Nicholas Pooran †,27,12,-,1,3,225.00,scorecard
Reeza Hendricks,19,25,41,1,0,76.00,scorecard
Quinton de Kock †,65,38,50,4,4,171.05,scorecard
Heinrich Klaasen,8,13,21,1,0,61.53,scorecard
David Miller,43,28,40,4,2,153.57,scorecard
Aiden Markram (c),1,2,4,0,0,50.00,scorecard
Tristan Stubbs,12,11,28,1,0,109.09,scorecard
Marco Jansen,0,1,1,0,0,0.00,scorecard
Keshav Maharaj,5,2,3,1,0,250.00,scorecard
Phil Salt,11,8,8,1,1,137.50,scorecard
Jos Buttler (c)†,17,20,38,1,0,85.00,scorecard
Jonny Bairstow,16,20,20,1,0,80.00,scorecard
Moeen Ali,9,10,15,0,0,90.00,scorecard
Harry Brook,53,37,50,7,0,143.24,scorecard
Liam Livingstone,33,17,33,3,2,194.11,scorecard
Sam Curran,10,7,14,1,0,142.85,scorecard
Jofra Archer,1,2,4,0,0,50.00,scorecard
Tanzid Hasan,0,3,2,0,0,0.00,scorecard
Litton Das †,16,25,42,2,0,64.00,scorecard
Najmul Hossain Shanto (c),41,36,57,5,1,113.88,scorecard
Rishad Hossain,2,4,5,0,0,50.00,scorecard
Towhid Hridoy,40,28,40,2,2,142.85,scorecard
Shakib Al Hasan,8,10,27,0,0,80.00,scorecard
Mahmudullah,2,3,7,0,0,66.66,scorecard
Mahedi Hasan,0,1,1,0,0,0.00,scorecard
Taskin Ahmed,13,7,9,1,0,185.71,scorecard
Tanzim Hasan Sakib,4,3,3,0,0,133.33,scorecard
David Warner,53,35,52,5,3,151.42,scorecard
Travis Head,31,21,30,3,2,147.61,scorecard
Mitchell Marsh (c),1,6,8,0,0,16.66,scorecard
Glenn Maxwell,14,6,12,1,1,233.33,scorecard
Rohit Sharma (c),8,13,13,1,0,61.53,scorecard
Virat Kohli,24,24,41,0,1,100.00,scorecard
Rishabh Pant †,20,11,20,4,0,181.81,scorecard
Suryakumar Yadav,53,28,51,5,3,189.28,scorecard
Shivam Dube,10,7,11,0,1,142.85,scorecard
Hardik Pandya,32,24,40,3,2,133.33,scorecard
Ravindra Jadeja,7,5,11,1,0,140.00,scorecard
Axar Patel,12,6,11,2,0,200.00,scorecard
Arshdeep Singh,2,2,8,0,0,100.00,scorecard
Rahmanullah Gurbaz †,11,8,7,1,1,137.50,scorecard
Hazratullah Zazai,2,4,20,0,0,50.00,scorecard
Ibrahim Zadran,8,11,9,1,0,72.72,scorecard
Gulbadin Naib,17,21,25,1,1,80.95,scorecard
Azmatullah Omarzai,26,20,26,2,1,130.00,scorecard
Najibullah Zadran,19,17,22,0,2,111.76,scorecard
Mohammad Nabi,14,14,24,0,1,100.00,scorecard
Rashid Khan (c),2,6,11,0,0,33.33,scorecard
Noor Ahmad,12,18,19,1,1,66.66,scorecard
Naveen-ul-Haq,0,1,1,0,0,0.00,scorecard
Fazalhaq Farooqi,4,1,11,1,0,400.00,scorecard
Brandon King,23,13,23,3,1,176.92,scorecard
Johnson Charles,38,34,55,4,1,111.76,scorecard
Nicholas Pooran †,36,32,53,4,1,112.50,scorecard
Rovman Powell (c),36,17,18,0,5,211.76,scorecard
Andre Russell,1,2,7,0,0,50.00,scorecard
Sherfane Rutherford,28,15,20,1,2,186.66,scorecard
Romario Shepherd,5,7,16,1,0,71.42,scorecard
Phil Salt,87,47,79,7,5,185.10,scorecard
Jos Buttler (c)†,25,22,34,2,0,113.63,scorecard
Moeen Ali,13,10,9,2,0,130.00,scorecard
Jonny Bairstow,48,26,32,5,2,184.61,scorecard
Quinton de Kock †,74,40,54,7,5,185.00,scorecard
Reeza Hendricks,11,11,12,0,1,100.00,scorecard
Aiden Markram (c),46,32,52,4,1,143.75,scorecard
David Miller,0,1,1,0,0,0.00,scorecard
Heinrich Klaasen,36,22,35,0,3,163.63,scorecard
Tristan Stubbs,20,16,24,2,0,125.00,scorecard
Steven Taylor,24,14,16,4,1,171.42,scorecard
Andries Gous †,80,47,88,5,5,170.21,scorecard
Nitish Kumar,8,6,9,0,1,133.33,scorecard
Aaron Jones (c),0,5,4,0,0,0.00,scorecard
Corey Anderson,12,12,10,0,1,100.00,scorecard
Shayan Jahangir,3,9,51,0,0,33.33,scorecard
Harmeet Singh,38,22,30,2,3,172.72,scorecard
Jasdeep Singh,2,6,7,0,0,33.33,scorecard
Brandon King,7,6,9,1,0,116.66,scorecard
Johnson Charles,43,27,43,8,0,159.25,scorecard
Nicholas Pooran †,98,53,86,6,8,184.90,scorecard
Shai Hope,25,17,14,0,2,147.05,scorecard
Rovman Powell (c),26,15,28,1,2,173.33,scorecard
Andre Russell,3,3,9,0,0,100.00,scorecard
Sherfane Rutherford,1,1,1,0,0,100.00,scorecard
Rahmanullah Gurbaz †,0,3,1,0,0,0.00,scorecard
Ibrahim Zadran,38,28,34,5,1,135.71,scorecard
Gulbadin Naib,7,10,26,1,0,70.00,scorecard
Azmatullah Omarzai,23,19,26,1,1,121.05,scorecard
Najibullah Zadran,0,2,1,0,0,0.00,scorecard
Mohammad Nabi,1,4,4,0,0,25.00,scorecard
Karim Janat,14,9,14,0,1,155.55,scorecard
Rashid Khan (c),18,11,18,2,1,163.63,scorecard
Noor Ahmad,2,4,6,0,0,50.00,scorecard
Naveen-ul-Haq,4,6,5,1,0,66.66,scorecard
Fazalhaq Farooqi,0,2,3,0,0,0.00,scorecard
Tony Ura,1,2,6,0,0,50.00,scorecard
Assad Vala (c),6,16,19,1,0,37.50,scorecard
Charles Amini,17,25,40,2,0,68.00,scorecard
Sese Bau,12,27,32,1,0,44.44,scorecard
Hiri Hiri,7,11,16,1,0,63.63,scorecard
Chad Soper,1,6,4,0,0,16.66,scorecard
Kiplin Doriga †,5,7,14,1,0,71.42,scorecard
Norman Vanua,14,13,15,1,1,107.69,scorecard
Alei Nao,3,7,14,0,0,42.85,scorecard
Kabua Morea,0,3,3,0,0,0.00,scorecard
Semo Kamea,1,1,1,0,0,100.00,scorecard
Finn Allen,0,2,3,0,0,0.00,scorecard
Devon Conway †,35,32,45,2,3,109.37,scorecard
Rachin Ravindra,6,11,15,0,0,54.54,scorecard
Kane Williamson (c),18,17,38,2,0,105.88,scorecard
Daryl Mitchell,19,12,13,3,0,158.33,scorecard
Pathum Nissanka,0,2,2,0,0,0.00,scorecard
Kusal Mendis †,46,29,49,5,0,158.62,scorecard
Kamindu Mendis,17,20,24,1,1,85.00,scorecard
Dhananjaya de Silva,34,26,38,3,1,130.76,scorecard
Charith Asalanka,46,21,31,1,5,219.04,scorecard
Angelo Mathews,30,15,27,1,2,200.00,scorecard
Dasun Shanaka,0,1,1,0,0,0.00,scorecard
Wanindu Hasaranga (c),20,6,10,1,2,333.33,scorecard
Michael Levitt,31,23,25,2,3,134.78,scorecard
Max O'Dowd,11,8,20,0,1,137.50,scorecard
Vikramjit Singh,7,10,12,0,0,70.00,scorecard
Sybrand Engelbrecht,11,9,12,0,1,122.22,scorecard
Scott Edwards (c)†,31,24,40,2,1,129.16,scorecard
Bas de Leede,3,5,4,0,0,60.00,scorecard
Logan van Beek,0,1,1,0,0,0.00,scorecard
Tim Pringle,2,4,7,0,0,50.00,scorecard
Aryan Dutt,10,8,11,1,0,125.00,scorecard
Paul van Meekeren,3,8,11,0,0,37.50,scorecard
Vivian Kingma,1,1,2,0,0,100.00,scorecard
Andy Balbirnie,0,3,2,0,0,0.00,scorecard
Paul Stirling (c),1,2,11,0,0,50.00,scorecard
Lorcan Tucker †,2,2,1,0,0,100.00,scorecard
Harry Tector,0,6,15,0,0,0.00,scorecard
Curtis Campher,7,14,26,1,0,50.00,scorecard
George Dockrell,11,10,11,2,0,110.00,scorecard
Gareth Delany,31,19,30,1,3,163.15,scorecard
Mark Adair,15,19,34,2,0,78.94,scorecard
Barry McCarthy,2,7,12,0,0,28.57,scorecard
Josh Little,22,18,26,2,1,122.22,scorecard
Ben White,5,20,24,0,0,25.00,scorecard
Mohammad Rizwan †,17,16,30,2,0,106.25,scorecard
Saim Ayub,17,17,19,2,1,100.00,scorecard
Babar Azam (c),32,34,79,2,0,94.11,scorecard
Fakhar Zaman,5,9,15,0,0,55.55,scorecard
Usman Khan,2,3,4,0,0,66.66,scorecard
Shadab Khan,0,2,3,0,0,0.00,scorecard
Imad Wasim,4,6,5,1,0,66.66,scorecard
Abbas Afridi,17,21,32,1,1,80.95,scorecard
Shaheen Shah Afridi,13,5,23,0,2,260.00,scorecard
George Munsey,35,23,40,2,3,152.17,scorecard
Michael Jones,2,3,2,0,0,66.66,scorecard
Brandon McMullen,60,34,44,2,6,176.47,scorecard
Richie Berrington (c),42,31,48,1,2,135.48,scorecard
Matthew Cross †,18,11,13,1,1,163.63,scorecard
Michael Leask,5,8,9,0,0,62.50,scorecard
Chris Greaves,9,10,15,0,0,90.00,scorecard
Travis Head,68,49,68,5,4,138.77,scorecard
David Warner,1,4,4,0,0,25.00,scorecard
Mitchell Marsh (c),8,9,17,1,0,88.88,scorecard
Glenn Maxwell,11,8,13,0,1,137.50,scorecard
Marcus Stoinis,59,29,35,9,2,203.44,scorecard
Tim David,24,14,19,2,1,171.42,scorecard
Matthew Wade †,4,5,13,0,0,80.00,scorecard
Phil Salt,11,8,11,2,0,137.50,scorecard
Jos Buttler (c)†,0,4,6,0,0,0.00,scorecard
Jonny Bairstow,31,18,27,3,2,172.22,scorecard
Harry Brook,47,20,37,4,2,235.00,scorecard
Moeen Ali,16,6,10,0,2,266.66,scorecard
Liam Livingstone,13,4,4,0,2,325.00,scorecard
Michael van Lingen,33,29,41,1,3,113.79,scorecard
Nikolaas Davin,18,16,26,1,1,112.50,scorecard
David Wiese,27,12,17,2,2,225.00,scorecard
Gerhard Erasmus (c),1,3,5,0,0,33.33,scorecard
JJ Smit,0,1,2,0,0,0.00,scorecard
Ronak Patel,2,20,36,0,0,10.00,scorecard
Simon Ssesazi †,0,1,2,0,0,0.00,scorecard
Robinson Obuya,0,1,1,0,0,0.00,scorecard
Alpesh Ramjani,0,6,15,0,0,0.00,scorecard
Kenneth Waiswa,11,18,22,2,0,61.11,scorecard
Riazat Ali Shah,2,13,21,0,0,15.38,scorecard
Dinesh Nakrani,4,13,24,0,0,30.76,scorecard
Brian Masaba (c),3,20,33,0,0,15.00,scorecard
Fred Achelam,9,13,16,1,0,69.23,scorecard
Juma Miyagi,0,1,2,0,0,0.00,scorecard
Cosmas Kyewuta,1,6,4,0,0,16.66,scorecard
Finn Allen,9,17,24,1,0,52.94,scorecard
Devon Conway †,22,15,31,4,0,146.66,scorecard
Rachin Ravindra,1,1,6,0,0,100.00,scorecard
Reeza Hendricks,43,49,64,5,1,87.75,scorecard
Quinton de Kock †,10,11,14,1,0,90.90,scorecard
Aiden Markram (c),15,22,27,2,0,68.18,scorecard
Heinrich Klaasen,3,5,6,0,0,60.00,scorecard
David Miller,7,10,18,0,0,70.00,scorecard
Tristan Stubbs,27,18,18,2,1,150.00,scorecard
Marco Jansen,1,4,9,0,0,25.00,scorecard
Kagiso Rabada,0,1,1,0,0,0.00,scorecard
Kushal Bhurtel,13,21,31,1,1,61.90,scorecard
Aasif Sheikh †,42,49,77,4,1,85.71,scorecard
Rohit Paudel (c),0,2,1,0,0,0.00,scorecard
Anil Sah,27,24,25,3,1,112.50,scorecard
Dipendra Singh Airee,6,11,15,0,0,54.54,scorecard
Kushal Malla,1,3,4,0,0,33.33,scorecard
Gulsan Jha,6,6,13,1,0,100.00,scorecard
Sompal Kami,8,4,9,0,1,200.00,scorecard
Tony Ura,11,18,31,1,0,61.11,scorecard
Assad Vala (c),3,2,9,0,0,150.00,scorecard
Lega Siaka,0,1,1,0,0,0.00,scorecard
Sese Bau,0,1,1,0,0,0.00,scorecard
Hiri Hiri,1,3,4,0,0,33.33,scorecard
Chad Soper,9,26,27,0,0,34.61,scorecard
Kiplin Doriga †,27,32,46,2,0,84.37,scorecard
Norman Vanua,0,7,10,0,0,0.00,scorecard
Alei Nao,13,19,25,2,0,68.42,scorecard
John Kariko,4,7,10,1,0,57.14,scorecard
Semo Kamea,2,3,7,0,0,66.66,scorecard
Rahmanullah Gurbaz †,11,7,15,1,1,157.14,scorecard
Ibrahim Zadran,0,7,9,0,0,0.00,scorecard
Gulbadin Naib,49,36,60,4,2,136.11,scorecard
Azmatullah Omarzai,13,18,26,1,0,72.22,scorecard
Mohammad Nabi,16,23,27,1,0,69.56,scorecard
Pratik Athavale †,5,3,6,1,0,166.66,scorecard
Kashyap Prajapati,9,16,28,0,1,56.25,scorecard
Aqib Ilyas (c),8,10,9,1,0,80.00,scorecard
Zeeshan Maqsood,1,5,7,0,0,20.00,scorecard
Khalid Kail,1,3,6,0,0,33.33,scorecard
Ayaan Khan,1,5,11,0,0,20.00,scorecard
Shoaib Khan,11,23,31,1,0,47.82,scorecard
Mehran Khan,0,2,2,0,0,0.00,scorecard
Fayyaz Butt,2,7,7,0,0,28.57,scorecard
Kaleemullah,5,5,8,1,0,100.00,scorecard
Bilal Khan,0,1,3,0,0,0.00,scorecard
Phil Salt,12,3,2,0,2,400.00,scorecard
Jos Buttler (c)†,24,8,17,4,1,300.00,scorecard
Will Jacks,5,7,7,1,0,71.42,scorecard
Jonny Bairstow,8,2,6,2,0,400.00,scorecard
Tanzid Hasan,35,26,45,5,1,134.61,scorecard
Najmul Hossain Shanto (c),1,3,6,0,0,33.33,scorecard
Litton Das †,1,2,12,0,0,50.00,scorecard
Shakib Al Hasan,64,46,74,9,0,139.13,scorecard
Towhid Hridoy,9,15,13,0,0,60.00,scorecard
Mahmudullah,25,21,22,2,2,119.04,scorecard
Jaker Ali,14,7,11,3,0,200.00,scorecard
Michael Levitt,18,16,17,2,1,112.50,scorecard
Max O'Dowd,12,16,23,3,0,75.00,scorecard
Vikramjit Singh,26,16,22,0,3,162.50,scorecard
Sybrand Engelbrecht,33,22,36,3,1,150.00,scorecard
